uid,target,NDCG@20,Recall@20,HitRate@20
2088,2343,1.0,1.0,1.0
2091,472,0.0,0.0,0.0
2093,2690,0.0,0.0,0.0
2097,2879,0.0,0.0,0.0
2104,2206,0.0,0.0,0.0
2107,420,0.0,0.0,0.0
2110,1045,0.0,0.0,0.0
2115,1248,0.0,0.0,0.0
2119,2704,0.0,0.0,0.0
2124,1670,0.0,0.0,0.0
2126,2219,0.0,0.0,0.0
2128,3217,0.0,0.0,0.0
2133,2197,0.0,0.0,0.0
2134,2115,0.0,0.0,0.0
2136,2260,0.227670248696953,1.0,1.0
2138,120,0.0,0.0,0.0
2139,2765,0.0,0.0,0.0
2152,1041,0.0,0.0,0.0
2153,2569,0.0,0.0,0.0
2155,358,0.0,0.0,0.0
2156,1846,0.0,0.0,0.0
2157,490,0.0,0.0,0.0
2158,3014,0.0,0.0,0.0
2159,2881,0.0,0.0,0.0
2162,654,0.0,0.0,0.0
2165,1443,0.0,0.0,0.0
2170,2410,0.0,0.0,0.0
2174,3192,0.0,0.0,0.0
2175,2752,0.0,0.0,0.0
2176,1823,0.0,0.0,0.0
2178,675,0.0,0.0,0.0
2179,2779,0.0,0.0,0.0
2180,889,0.27023815442731974,1.0,1.0
2185,2782,0.0,0.0,0.0
2190,1134,0.0,0.0,0.0
2196,2924,0.0,0.0,0.0
2199,1464,0.0,0.0,0.0
2200,821,0.0,0.0,0.0
2204,3209,0.0,0.0,0.0
2207,2918,0.0,0.0,0.0
2214,3101,0.0,0.0,0.0
2216,2700,0.0,0.0,0.0
2221,329,0.0,0.0,0.0
2223,2605,0.0,0.0,0.0
2230,655,0.0,0.0,0.0
2231,3208,0.0,0.0,0.0
2232,3165,0.0,0.0,0.0
2233,2765,0.0,0.0,0.0
2234,1483,0.0,0.0,0.0
2238,480,0.27023815442731974,1.0,1.0
2245,3209,0.0,0.0,0.0
2246,3048,0.0,0.0,0.0
2248,1846,0.0,0.0,0.0
2250,2771,0.0,0.0,0.0
2254,1047,0.0,0.0,0.0
2264,2233,0.0,0.0,0.0
2266,3020,0.0,0.0,0.0
2269,1602,0.0,0.0,0.0
2271,3126,0.0,0.0,0.0
2272,2456,0.0,0.0,0.0
2273,2844,0.0,0.0,0.0
2274,739,0.0,0.0,0.0
2277,2456,0.0,0.0,0.0
2279,2689,0.0,0.0,0.0
2283,3035,0.0,0.0,0.0
2286,3058,0.0,0.0,0.0
2288,988,0.0,0.0,0.0
2290,1249,0.0,0.0,0.0
2294,1065,0.0,0.0,0.0
2295,1939,0.26264953503719357,1.0,1.0
2298,2151,0.0,0.0,0.0
2301,1789,0.0,0.0,0.0
2302,3083,0.24465054211822604,1.0,1.0
