uid,target,NDCG@20,Recall@20,HitRate@20
18218,45570,0.0,0.0,0.0
18432,3471,0.0,0.0,0.0
18511,52430,0.0,0.0,0.0
18526,61663,0.0,0.0,0.0
18823,24296,0.0,0.0,0.0
18862,78396,0.0,0.0,0.0
18928,75282,0.0,0.0,0.0
19031,17382,0.0,0.0,0.0
19124,61167,0.0,0.0,0.0
19126,69811,0.0,0.0,0.0
19303,52693,0.0,0.0,0.0
19311,23522,0.0,0.0,0.0
19629,73532,0.0,0.0,0.0
19647,8643,0.0,0.0,0.0
19665,19709,0.0,0.0,0.0
19693,30580,0.0,0.0,0.0
19900,78680,0.0,0.0,0.0
19909,15449,0.0,0.0,0.0
19914,18296,0.0,0.0,0.0
19967,32042,0.0,0.0,0.0
20024,30580,0.0,0.0,0.0
20056,70496,0.0,0.0,0.0
20141,34042,0.0,0.0,0.0
20281,72128,0.0,0.0,0.0
20326,10115,0.0,0.0,0.0
20348,48293,0.0,0.0,0.0
20451,54346,0.0,0.0,0.0
20598,77212,0.0,0.0,0.0
20617,47422,0.0,0.0,0.0
20639,74937,0.0,0.0,0.0
20736,40627,0.0,0.0,0.0
20746,4240,0.0,0.0,0.0
20767,73928,0.0,0.0,0.0
20805,52763,0.0,0.0,0.0
20815,67035,0.0,0.0,0.0
20843,30703,0.0,0.0,0.0
20853,53778,0.0,0.0,0.0
20854,49632,0.0,0.0,0.0
20906,78282,0.0,0.0,0.0
20906,52582,0.0,0.0,0.0
20913,79192,0.0,0.0,0.0
21012,73647,0.0,0.0,0.0
21015,43031,0.0,0.0,0.0
