uid,input_tokens,output_tokens,latency_seconds
22698,246.0,195.0,2.540473461151123
22706,414.0,198.0,2.598686695098877
22718,514.0,231.0,3.005523443222046
22728,368.0,197.0,2.3948254585266113
22746,261.0,197.0,2.6728756427764893
22798,153.0,214.0,2.886000871658325
22838,134.0,7.0,1.155097246170044
22918,358.0,206.0,2.9694700241088867
22949,141.0,203.0,2.9104080200195312
22954,301.0,217.0,2.643467903137207
22955,380.0,208.0,2.921175479888916
22973,401.0,199.0,3.105498790740967
23048,301.0,211.0,2.8790717124938965
23071,455.0,216.0,2.971900701522827
23115,164.0,185.0,2.608776807785034
23119,220.0,202.0,2.9258642196655273
23145,362.0,200.0,2.871135950088501
23171,172.0,203.0,2.7991340160369873
23249,168.0,232.0,3.5072247982025146
23262,441.0,203.0,2.691592216491699
23281,188.0,211.0,3.203450918197632
23306,398.0,187.0,2.766479015350342
23348,400.0,214.0,2.886929512023926
23364,139.0,189.0,2.7661070823669434
23397,375.0,185.0,2.4845378398895264
23403,139.0,183.0,2.083024501800537
23431,544.0,219.0,3.03273606300354
23509,532.0,203.0,2.939673900604248
23520,395.0,215.0,3.0722341537475586
23660,173.0,196.0,2.770998239517212
23665,459.0,242.0,3.0695085525512695
23812,407.0,238.0,3.1607248783111572
23857,381.0,215.0,2.6103031635284424
23912,331.0,207.0,2.630601644515991
23920,134.0,7.0,1.4051761627197266
23964,134.0,7.0,1.3594698905944824
23983,480.0,192.0,2.19291615486145
24023,284.0,213.0,3.0621743202209473
24034,295.0,199.0,2.4888296127319336
24037,189.0,195.0,2.477675676345825
24138,134.0,7.0,1.068998098373413
24222,134.0,7.0,1.0811750888824463
24231,297.0,194.0,2.6066672801971436
24239,134.0,7.0,0.961505651473999
24279,472.0,213.0,2.8293373584747314
24302,362.0,218.0,2.928687810897827
24457,462.0,215.0,3.248978853225708
24518,134.0,7.0,0.7584033012390137
24523,253.0,208.0,2.962799549102783
24540,183.0,203.0,3.0876104831695557
24546,268.0,211.0,2.7609825134277344
24581,207.0,191.0,2.3992671966552734
24615,457.0,212.0,2.719143867492676
24653,337.0,212.0,2.430983066558838
24688,271.0,194.0,2.69378399848938
24741,134.0,7.0,0.9000298976898193
24809,173.0,214.0,2.8987863063812256
24864,144.0,197.0,2.9219777584075928
24998,134.0,7.0,0.7121856212615967
25050,175.0,203.0,2.795530319213867
25064,176.0,186.0,2.067136287689209
25111,218.0,188.0,2.4718658924102783
25163,447.0,194.0,2.3708765506744385
25330,459.0,219.0,2.8680355548858643
25374,473.0,208.0,2.9563241004943848
25378,241.0,181.0,2.3110806941986084
25450,208.0,194.0,2.438788890838623
25461,178.0,195.0,2.462059736251831
25499,502.0,178.0,2.3276612758636475
25506,134.0,7.0,0.8469836711883545
25566,207.0,208.0,2.7719366550445557
25578,238.0,184.0,2.002984046936035
25606,268.0,203.0,3.0376529693603516
25698,180.0,199.0,2.5802414417266846
25751,204.0,211.0,3.5097384452819824
25841,421.0,238.0,3.4362752437591553
25918,298.0,213.0,3.082911729812622
25927,388.0,219.0,2.9556052684783936
25937,245.0,231.0,2.9600484371185303
25943,478.0,192.0,2.4662435054779053
25984,150.0,199.0,3.1398515701293945
26056,134.0,7.0,0.8122475147247314
26080,147.0,196.0,2.4046430587768555
26084,213.0,213.0,3.0447421073913574
26221,272.0,196.0,2.551009178161621
26245,134.0,7.0,0.6918284893035889
26266,389.0,185.0,2.1584389209747314
26274,170.0,207.0,2.3662354946136475
26315,384.0,182.0,2.4157190322875977
26330,140.0,184.0,2.231860637664795
26408,211.0,215.0,3.05352783203125
26416,182.0,193.0,2.515061378479004
26423,221.0,190.0,2.6926302909851074
26438,169.0,206.0,2.5959465503692627
26473,218.0,199.0,2.9708456993103027
26514,481.0,217.0,2.8754241466522217
26564,134.0,7.0,1.1592307090759277
26571,434.0,205.0,2.836524248123169
26596,134.0,7.0,1.2568929195404053
26597,445.0,218.0,2.7883923053741455
26607,267.0,201.0,2.7491562366485596
26625,419.0,186.0,2.3849430084228516
26649,438.0,212.0,2.6945297718048096
26650,254.0,202.0,2.4470019340515137
26662,377.0,216.0,3.08790922164917
26691,275.0,189.0,2.4223222732543945
26729,416.0,213.0,2.7148404121398926
26739,188.0,202.0,2.9728643894195557
26755,391.0,201.0,2.4607675075531006
26773,134.0,7.0,0.885326623916626
26888,139.0,192.0,2.686619758605957
26957,323.0,227.0,2.9926443099975586
26980,383.0,191.0,2.5402700901031494
26998,180.0,206.0,2.569666624069214
27016,300.0,200.0,2.382453203201294
27098,134.0,7.0,0.8520488739013672
27160,242.0,211.0,2.913400173187256
27245,188.0,177.0,2.0091545581817627
27270,433.0,224.0,2.621586561203003
27404,462.0,229.0,3.7536041736602783
27450,203.0,196.0,2.840435266494751
27511,396.0,235.0,3.0675997734069824
27558,421.0,202.0,2.46846604347229
27604,439.0,205.0,2.3124260902404785
27630,408.0,237.0,3.1689796447753906
27638,134.0,7.0,0.7610654830932617
27652,239.0,201.0,2.3902411460876465
27698,296.0,197.0,2.3239686489105225
27726,195.0,235.0,3.1066734790802
27761,150.0,193.0,2.289149522781372
27766,178.0,200.0,2.5062570571899414
27771,134.0,7.0,0.7232303619384766
27773,134.0,7.0,0.987532377243042
27787,285.0,213.0,3.0969033241271973
27928,519.0,205.0,2.7525534629821777
27940,276.0,206.0,2.3905887603759766
27952,342.0,221.0,3.183974266052246
27976,230.0,223.0,3.0627894401550293
28029,444.0,201.0,2.656153678894043
28050,159.0,197.0,3.0085160732269287
28145,412.0,248.0,3.15519642829895
28187,486.0,211.0,2.4815454483032227
28245,134.0,7.0,1.3916432857513428
28331,207.0,195.0,2.507768154144287
28343,506.0,229.0,2.798335552215576
28369,555.0,258.0,3.588386058807373
28388,170.0,189.0,2.176002025604248
28472,435.0,190.0,2.357847213745117
28534,332.0,197.0,2.6353890895843506
28538,372.0,199.0,2.4213802814483643
28597,390.0,217.0,2.8160839080810547
28605,452.0,210.0,2.98608660697937
28627,413.0,214.0,2.714576482772827
28673,373.0,219.0,2.834322690963745
28789,444.0,207.0,2.4522485733032227
28811,134.0,7.0,0.8525087833404541
28815,278.0,208.0,2.4216718673706055
